[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ route_check ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run CheckRoute Behavior [ RunTime:0.001141s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001291s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ app_begin ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000866s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000733s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001751s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_template ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001898s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.002043s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_parse ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run ParseTemplate Behavior [ RunTime:0.011225s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.011368s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_filter ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run ContentReplace Behavior [ RunTime:0.000796s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run TokenBuild Behavior [ RunTime:0.000781s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000661s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000958s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.003479s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_end ] --START--
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000763s ]
[ 2013-11-19T12:17:48+08:00 ] /zzadmin/admin.php/Cache | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000847s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Tag[ route_check ] --START--
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Run CheckRoute Behavior [ RunTime:0.001250s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001389s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Tag[ app_begin ] --START--
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000654s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001615s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SHOW COLUMNS FROM `zz_staff` [ RunTime:0.005191s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SHOW COLUMNS FROM `zz_job` [ RunTime:0.005072s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SHOW COLUMNS FROM `zz_major` [ RunTime:0.005471s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SHOW COLUMNS FROM `zz_title` [ RunTime:0.007675s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SHOW COLUMNS FROM `zz_college` [ RunTime:0.006016s ]
[ 2013-11-19T12:17:53+08:00 ] /zzadmin/admin.php/Staff/showstaff | SQL: SELECT staff.id AS id,staff.no AS no,staff.name AS name,staff.sex AS sex,staff.birth AS birth,job.id AS jobid,job.jobname AS jobname,major.id AS majorid,major.majorname AS majorname,title.id AS titleid,title.titlename AS titlename,college.id AS collegeid,college.collegename AS collegename FROM zz_staff staff  JOIN zz_job job ON staff.job=job.id  JOIN zz_major major ON staff.major=major.id  JOIN zz_title title ON staff.title=title.id  JOIN zz_college college ON staff.college=college.id  [ RunTime:0.000755s ]
