[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ route_check ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.000981s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001071s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ app_begin ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000568s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000536s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001184s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 407 行.
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SHOW COLUMNS FROM `zz_conf` [ RunTime:0.007262s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SELECT * FROM `zz_conf` WHERE conf_name='THEME' LIMIT 1   [ RunTime:0.000348s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SHOW COLUMNS FROM `zz_user` [ RunTime:0.005513s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SELECT * FROM `zz_user` WHERE username='zhang' LIMIT 1   [ RunTime:0.000400s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SELECT * FROM `zz_conf` WHERE conf_name='THEME' LIMIT 1   [ RunTime:0.000395s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SHOW COLUMNS FROM `zz_notice` [ RunTime:0.005953s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | SQL: SELECT * FROM `zz_notice` ORDER BY id desc LIMIT 10   [ RunTime:0.000377s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_template ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001122s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001187s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_parse ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | NOTIC: [8] Undefined variable: username 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 22 行.
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | NOTIC: [8] Undefined variable: lasttime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 22 行.
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | NOTIC: [8] Undefined variable: count 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 22 行.
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | NOTIC: [8] Undefined variable: flag 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 22 行.
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001322s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001372s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_filter ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000587s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000494s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000391s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000544s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002161s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_end ] --START--
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.001133s ]
[ 2014-04-28T00:08:50+08:00 ] /zzadmin/admin.php/Index/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.001268s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ route_check ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run CheckRoute Behavior [ RunTime:0.001090s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001188s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ app_begin ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000662s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001967s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002748s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 407 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: state EquipAction.class.php 第 537 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equipstate` [ RunTime:0.009602s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_equipstate`  [ RunTime:0.000700s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equiploan` [ RunTime:0.005385s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equip` [ RunTime:0.006022s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_staff` [ RunTime:0.004253s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_lab` [ RunTime:0.004735s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT equiploan.id AS id,equiploan.loantarget AS loantarget,equiploan.loanreason AS loanreason,equiploan.loantime AS loantime,equiploan.agreetime AS agreetime,equiploan.returntime AS returntime,equiploan.returnperson AS returnperson,equiploan.remark AS remark,equip.id AS eid,equip.eno AS eno,equip.ename AS ename,equip.brand AS brand,equip.model AS model,staff.id AS staffid,staff.name AS staffname,lab.id AS labid,lab.labname AS labname,equipstate.id AS stateid,equipstate.statename AS statename FROM zz_equiploan equiploan  JOIN zz_equip equip ON equiploan.eid=equip.id  JOIN zz_staff staff ON equiploan.duty=staff.id  JOIN zz_lab lab ON equip.lab=lab.id  JOIN zz_equipstate equipstate ON equiploan.state=equipstate.id  [ RunTime:0.000906s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_conf` [ RunTime:0.005852s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_conf` WHERE conf_name='PAGECOUNT' LIMIT 1   [ RunTime:0.000332s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_conf` WHERE conf_name='SUB_SIZE' LIMIT 1   [ RunTime:0.000172s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT equiploan.id AS id,equiploan.loantarget AS loantarget,equiploan.loanreason AS loanreason,equiploan.loantime AS loantime,equiploan.agreetime AS agreetime,equiploan.returntime AS returntime,equiploan.returnperson AS returnperson,equip.eno AS eno,equip.ename AS ename,staff.name AS staffname,lab.labname AS labname,equipstate.statename AS statename FROM zz_equiploan equiploan  JOIN zz_equip equip ON equiploan.eid=equip.id  JOIN zz_staff staff ON equiploan.duty=staff.id  JOIN zz_lab lab ON equip.lab=lab.id  JOIN zz_equipstate equipstate ON equiploan.state=equipstate.id ORDER BY equiploan.id desc LIMIT 0,10   [ RunTime:0.000788s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self1 BaseAction.class.php 第 280 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self2 BaseAction.class.php 第 291 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self3 BaseAction.class.php 第 302 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: lookgrade BaseAction.class.php 第 319 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: addgrade BaseAction.class.php 第 326 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: add BaseAction.class.php 第 333 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: return BaseAction.class.php 第 339 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: dl BaseAction.class.php 第 346 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: look BaseAction.class.php 第 352 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: edit BaseAction.class.php 第 357 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: del BaseAction.class.php 第 362 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: ok BaseAction.class.php 第 367 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_template ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001151s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001220s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_parse ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: classid c82986329629546325e352c3e6b1524a.php 第 539 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: classtype c82986329629546325e352c3e6b1524a.php 第 546 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 593 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 594 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: otherform c82986329629546325e352c3e6b1524a.php 第 601 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ParseTemplate Behavior [ RunTime:0.002023s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.002076s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_filter ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ContentReplace Behavior [ RunTime:0.000682s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run TokenBuild Behavior [ RunTime:0.000720s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000398s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000605s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002577s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_end ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000974s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.001069s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ route_check ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run CheckRoute Behavior [ RunTime:0.000992s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001079s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ app_begin ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000626s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000588s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001324s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 407 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: state EquipAction.class.php 第 537 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equipstate` [ RunTime:0.004362s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_equipstate`  [ RunTime:0.000289s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equiploan` [ RunTime:0.008452s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_equip` [ RunTime:0.007814s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_staff` [ RunTime:0.006933s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_lab` [ RunTime:0.007828s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT equiploan.id AS id,equiploan.loantarget AS loantarget,equiploan.loanreason AS loanreason,equiploan.loantime AS loantime,equiploan.agreetime AS agreetime,equiploan.returntime AS returntime,equiploan.returnperson AS returnperson,equiploan.remark AS remark,equip.id AS eid,equip.eno AS eno,equip.ename AS ename,equip.brand AS brand,equip.model AS model,staff.id AS staffid,staff.name AS staffname,lab.id AS labid,lab.labname AS labname,equipstate.id AS stateid,equipstate.statename AS statename FROM zz_equiploan equiploan  JOIN zz_equip equip ON equiploan.eid=equip.id  JOIN zz_staff staff ON equiploan.duty=staff.id  JOIN zz_lab lab ON equip.lab=lab.id  JOIN zz_equipstate equipstate ON equiploan.state=equipstate.id  [ RunTime:0.001545s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SHOW COLUMNS FROM `zz_conf` [ RunTime:0.005853s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_conf` WHERE conf_name='PAGECOUNT' LIMIT 1   [ RunTime:0.000328s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT * FROM `zz_conf` WHERE conf_name='SUB_SIZE' LIMIT 1   [ RunTime:0.000184s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | SQL: SELECT equiploan.id AS id,equiploan.loantarget AS loantarget,equiploan.loanreason AS loanreason,equiploan.loantime AS loantime,equiploan.agreetime AS agreetime,equiploan.returntime AS returntime,equiploan.returnperson AS returnperson,equip.eno AS eno,equip.ename AS ename,staff.name AS staffname,lab.labname AS labname,equipstate.statename AS statename FROM zz_equiploan equiploan  JOIN zz_equip equip ON equiploan.eid=equip.id  JOIN zz_staff staff ON equiploan.duty=staff.id  JOIN zz_lab lab ON equip.lab=lab.id  JOIN zz_equipstate equipstate ON equiploan.state=equipstate.id ORDER BY equiploan.id desc LIMIT 0,10   [ RunTime:0.000880s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self1 BaseAction.class.php 第 280 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self2 BaseAction.class.php 第 291 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: self3 BaseAction.class.php 第 302 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: lookgrade BaseAction.class.php 第 319 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: addgrade BaseAction.class.php 第 326 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: add BaseAction.class.php 第 333 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: return BaseAction.class.php 第 339 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: dl BaseAction.class.php 第 346 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: look BaseAction.class.php 第 352 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: edit BaseAction.class.php 第 357 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: del BaseAction.class.php 第 362 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined index: ok BaseAction.class.php 第 367 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_template ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001161s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001244s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_parse ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: classid c82986329629546325e352c3e6b1524a.php 第 539 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: classtype c82986329629546325e352c3e6b1524a.php 第 546 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 593 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 594 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: otherform c82986329629546325e352c3e6b1524a.php 第 601 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report c82986329629546325e352c3e6b1524a.php 第 641 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | NOTIC: [8] Undefined variable: notify_report_teacher c82986329629546325e352c3e6b1524a.php 第 642 行.
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001944s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.002009s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_filter ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ContentReplace Behavior [ RunTime:0.000749s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run TokenBuild Behavior [ RunTime:0.000587s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000384s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000561s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002467s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_end ] --START--
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000800s ]
[ 2014-04-28T00:08:56+08:00 ] /zzadmin/admin.php/Equip/showequiploan | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000885s ]
